,questions,answers,metadata
46,"<p>I just added my pdf and it seems</p><p><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flqem1l7wt5822i%2Ffc7abc1ead992686503435274921e3077644d501964960fa6d9366a255c50d0e%2Fimage.png""/></p><p>But I downloaded it back from github and it opens up fine. Will this be an issue?</p>",I was able to open it so I think it's ok ,"{'folders': ['hw5'], 'title': 'github issue(maybe?)', 'timestamp': '2024-09-27T23:58:26Z', 'user': 'lqem1l7wt5822i', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 101}"
47,"I used a different method to calculate the minimum sample size without a loop and it supposedly yielded a result that was off by one from the actual answer. I used the equations in the image below which were found in the ""hypothesis"" slides. Would this be a viable solution, or would I need to change it to the loop solution to avoid losing points?<img alt="""" height=""102"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr8060uiwek2hf%2F3bfa03ddf3aba460af35f01d2d7c0b3d39731f111d988412fa3e663a10d8fed9%2Fsol.png"" width=""490""/>","If it matches the answer, then use whatever method you like. However, you may find it easier to implement with the loop method as your z score is always updating.","{'folders': ['hw5'], 'title': 'Minimum sample size calculation', 'timestamp': '2024-09-27T23:52:08Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 99}"
48,"<p>I have two questions related to these two and the z-score formula.</p><p></p><p>1. Is the formula for z-score (x̄ - μ)/SE or (x̄-μ)/σ ? The number of standard deviations away from the mean or the number of standard errors away from the mean?</p><p>The slides show the first, which is different from what I learned in a previous stats class and from other online resources.</p><p><img alt=""image.png"" height=""96"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr3pf890klq5lw%2Fcc40cc4e725699ca76986af2e36c558ddf664a88dc23b1aad9105138288f84b7%2Fimage.png"" width=""316""/>compared to   <img height=""51"" src=""https://www.nlm.nih.gov/oet/ed/stats/img/ZScore.jpg"" width=""120""/></p><p></p><p></p><p>2. What does a and b in 𝒩(a,b) represent? In the first slide below, it is N(population mean, SE), but in the second it is N(population mean, SE^2)</p><p><img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr3pf890klq5lw%2F04bb76a02ca714efd296f3f540aeffb2b1d7f78d7baa075edab48ab3dcf773e7%2Fimage.png""/></p><p><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr3pf890klq5lw%2F5984c0233ed747b90abb230c0195b56261eb94e4ffdc0d0fab2eabb93a667a84%2Fimage.png""/></p>","<p>The z-score formula is (xˉ−μ)/σ when comparing an individual data point to the population mean using standard deviation σ, but it becomes (xˉ−μ)/SE when comparing a sample mean to the population mean using standard error.</p><p></p><p>In 𝒩(a, b), a represents the mean, and b can represent either the variance (σ² or SE²) or the standard deviation (σ or SE), depending on the context.</p>","{'folders': ['hw5'], 'title': 'Confusion over Standard Deviation (σ) and Standard Error (SE)', 'timestamp': '2024-09-27T05:21:33Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 2, 'views': 122}"
49,"For part 2, I got a p-value of around 1, is that correct or did I make a horrible error? And for part 3, how are you supposed to find the minimum sample size? I looked through the notes and slides and couldn't find anything relating to this. I looked up a possible solution with using the margin of error, and using the new z score and standard deviation to calculate the minimum population, but I end up with the original population. Any help would be appreciated, thanks!","<p>For part 2, a p-value near 1 suggests an error—double-check your sample size, mean, and standard error, then recalculate the z-score and p-value using the correct formulas from the slides. </p><p></p><p>For part 3, think about how increasing the sample size would affect calculations for standard error, z-score, and p-value while you get to the significance level of 0.05.<br/></p>","{'folders': ['hw5'], 'title': 'Q2 Part 2 and 3', 'timestamp': '2024-09-27T04:01:03Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 1, 'views': 120}"
50,"<p>I uploaded the pdf to the git but when I try to preview the pdf it says ""error rendering embedded code"". Do I need to be able to successfully preview the pdf on git for the submission to count?</p><p><a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flxnkghjhqqy3pt%2F4b5212c0620f9f0958a2f76c847c2c00fa281829f4348214f46217b5e335a7ac%2F20875_img_pdf.png"" rel=""noopener noreferrer"" target=""_blank"">20875_img_pdf.png</a></p>","<p>Correct. I'd recommend using a PDF editor or saving it as a doc, then saving it as a PDF. Make sure to be able to read it before submitting it.</p><p></p><p></p>","{'folders': ['hw5'], 'title': 'PDF for HW05', 'timestamp': '2024-09-27T03:35:14Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 123}"
51,"For Q2, it asks us what we can conclude about the hypothesis at the <strong>confidence level</strong> of .05 and .1. Is this instead suppose to mean significance level? In the context of the problem it would make more sense if it was significance level or alpha right?",Yes this is the significance level.,"{'folders': ['hw5'], 'title': 'HW5 Q2: Wording for Q2', 'timestamp': '2024-09-26T20:11:28Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 122}"
52,Are we allowed to import functions from modules like scipy.stats that are not explicitly already imported? Thanks,See @133. The slides use this library so it is likely acceptable.,"{'folders': ['hw5'], 'title': 'importing functions from modules', 'timestamp': '2024-09-26T19:42:42Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 103}"
53,"Are we expected to utilize our code from HW 3 to accurately answer this question? Is it asking for the optimum bin-width,  or simply the size of the entire population provided via 'city_vehicle_survey.txt'?","<p>For Problem 2, part 2 is asking for statistical tests(sample size, mean, standard error, test score (z or t), and p-value) regarding the given city_vehicle_survey.txt data. Part 3 is asking you to calculate the minimum sample size that would result in a p-value of 0.05. </p><p></p><p>This assignment does not require code from previous assignment.</p>","{'folders': ['hw5'], 'title': 'HW5 Problem 2, Sample Size', 'timestamp': '2024-09-26T19:03:20Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 119}"
54,"I've been having an issue where when I type on the writeup pdf on Visual Studio, it doesn't save. I have tried using command s but it still doesn't save or push to the git hub. I was wondering what I should do or if it is possible I can just submit my pdf on grade scope and my code on git hub?",PDF needs to be submitted to both Gradescope and Github. I’d recommend either working on the PDF outside of VS locally on your computer or not exiting VS until you’ve edited all the information you need. There are tools available online for editing PDFs as well. ,"{'folders': ['hw5'], 'title': 'HW 5 PDF', 'timestamp': '2024-09-26T16:47:53Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 125}"
55,How do I calculate standard error when there are two different sample sizes for my distributions? Should n be an average of the 2?,"<img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au4oyx6282lz%2F87400fbf058ce88d6e3401701d69e8fb46de56638ccb203e03e16ba977b5b797%2Fimage.png""/>","{'folders': ['hw5'], 'title': 'Question 2 Problem 5 Standard Error', 'timestamp': '2024-09-26T03:29:47Z', 'user': 'lr6tfdclqb73lf', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 113}"
56,Do we need to keep the writeup file name as Writeup.pdf when submitting to Github and Gradescope? Or can we change it along with a commit message?,"As long as the content matches, you should be okay.","{'folders': ['hw5'], 'title': 'HW5 Writeup file name', 'timestamp': '2024-09-26T01:20:29Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 125}"
57,Are we allowed to use pandas or libraries other than the ones already put into the code?,"If the library is not given, the general rule of thumb would be, if it requires pip/conda installation, then this package is not allowed. If it is the ""os"", ""sys"", or other packages that do not require additional installation, then you can use it. ","{'folders': ['hw5'], 'title': 'Pandas?', 'timestamp': '2024-09-26T01:19:58Z', 'user': 'm01hsm1vha51cx', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 115}"
58,"<p style=""text-align:left"">I am completing the write up portion of homework 5 and the text boxes on the document only allow me to write in one line, rather than carrying over, underneath the previous line. The font size keeps getting automatically adjusted to account for additional writing. As a result, the font is so small that now it is unreadable. Is there a way to edit the formatting of the text boxes so I can fully answer the questions and have my writing visible to the graders? Right now, the write up is opening in Edge and I can't find a way to open it in another browser or program.</p>",Try looking up an online PDF editor that you can upload the PDF to directly. Some allow you to change the font size in a textbox.,"{'folders': ['hw5'], 'title': 'really tiny font on write up part of homework', 'timestamp': '2024-09-25T23:32:59Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 120}"
59,"I can write and save the pdf within VSC (Visual Studio Code), but it won't let me commit it or show changes anywhere else. I honestly don't know what to do I've done the PDF and submitted it to Gradescope, I just cannot get it to work for Github. What should I do?",You do need to upload it to GitHub. Try manually uploading the pdf from your desktop. Or see @115,"{'folders': ['hw5'], 'title': 'Committing the PDF in VSC to Github Desktop to Github', 'timestamp': '2024-09-25T23:26:00Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 112}"
60,When calculating the z-score is it z = mean - hypothesized mean / standard deviation OR z = hypothesized mean - mean / standard deviation <div><br/></div><div>I’ve seen it both ways so I’m just confused as to which we use for the assignment. </div>,"<p>z = (sample mean - mean under null hypothesis) / standard error </p><p></p><p>For a two-tailed test, since p = 2*Normal_CDF(-|z|) is invariant to the sign of the z-score, your p-value calculation should hold either way.</p>","{'folders': ['hw5'], 'title': 'HW 5 calculation of Z-score', 'timestamp': '2024-09-25T21:17:05Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 126}"
61,"If one value in a test case is incorrect, but the others match the expected output, is it possible to get partial credit for that individual test case? Or is each test case all or nothing? Thank you!",Depends on the test case and the logic of the tested function. Some test cases do have partial credit.,"{'folders': ['hw3'], 'title': 'Partial credit question', 'timestamp': '2024-09-25T03:30:57Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 116}"
62,I was wondering as it says different things throughout the Github read me and piazza. Do we submit the WriteUp PDF in both gradescope and Github? Or can we just submit it into Gradescope?,It should be both pushed to your homework repository and uploaded to Gradescope,"{'folders': ['hw5'], 'title': 'Where all do we need to submit the Write-Up', 'timestamp': '2024-09-25T01:00:51Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 127}"
63,I never got any notification that my scores were updated to a 0 or the grade that is on Github.,"Yes brightspace should have the same grade as github. If it doesn't match, please submit a regrade request.","{'folders': ['logistics'], 'title': 'Should Brightspace mirror HW grades, or will brightspace be updated later on', 'timestamp': '2024-09-25T00:13:02Z', 'user': '', 'tags': ['student'], 'likes': 0, 'views': 108}"
64,"<p>I went to run my code on problem 2 for homework 4 a couple minutes ago, and I am continuously getting this error, even when I try to run my code for problem 1, which I have finished, and I know it works.</p><p></p><p>Update: Never mind it works again</p><p></p><p></p><p><img alt="""" height=""212"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flx4qmyhoo44c5%2Fa42c551c24db920ad8f8eb5c88ff0881b9b12c6609c06ab1ccc00e141780c93a%2FScreenshot_2024-09-24_192757.png"" width=""811""/></p>",Answering so that it is marked as resolved,"{'folders': ['hw4'], 'title': 'Error', 'timestamp': '2024-09-24T23:32:47Z', 'user': '', 'tags': ['hw4', 'student'], 'likes': 0, 'views': 99}"
65,What data type is the input func_1 and func_2 in problem 1?,"they are functions themselves, not basic types.","{'folders': ['hw4'], 'title': 'Data Type of Func_1 and 2', 'timestamp': '2024-09-24T23:13:44Z', 'user': 'll2hlufiw3sv7', 'tags': ['hw4', 'student'], 'likes': 0, 'views': 90}"
66,I am still having trouble accessing the repository for homework 4. Is there an alternative platform for submitting the homework?,@117,"{'folders': ['hw4'], 'title': 'Homework 4 submission', 'timestamp': '2024-09-24T18:34:14Z', 'user': 'm015f3jdph63c6', 'tags': ['hw4', 'student'], 'likes': 0, 'views': 96}"
67,"I am having trouble committing the finished pdf onto github, I can open and edit it inside vs code but when I got to stage my changes and commit my written pdf I just could not figure out how to do it. Any help would be appreciated.",Marked as resolved.,"{'folders': ['hw5'], 'title': 'Having trouble commiting writeup pdf', 'timestamp': '2024-09-24T14:06:47Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 119}"
68,"I'm very confused on how we are supposed to find the mean of the distribution given the function that we are given in question 1. I tried looking through slides, my notes, and then searching up online, but I cannot find how we are supposed to figure out the mean of the distribution and then find the mean of the probability density function for the sample mean when not having actual values.<br/><br/>I was planning to go to office hours on Tuesday, but it would be quite helpful if I could get answers prior to that.","It seems you are confused between what random variables are and what their realizations (or values) are. When we are given realizations/values, we calculate the mean by averaging the set of values. However, when we are given random variables with PDFs (or PMFs) rather than their realizations, there are theoretical formulae that determine their means (or expected values). Your instructor would have presented examples, beyond the slides, explaining how to carry out such calculations; they would have discussed both calculating the mean from PDFs, and determining the mean of the sample mean random variable. It is difficult to lay out the definition of expected value, its intuition (which is also needed in this problem), its key properties, and its relation to sampling distributions here, but it would be significantly easier to explain this theory in 10-min in person. Please do visit instructor or TA office hours to clarify this.","{'folders': ['hw5'], 'title': 'HW5 Q1', 'timestamp': '2024-09-22T22:28:25Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 139}"
69,"<p>The assignment says to do the write up PDF and submit both in Gradescope and Github. I had no trouble opening and seeing the PDF when using the link in gradescope. However, when I try to open it within Github (Visual Studio Code) from the Github homework file, I get the below picture. <br/>I was looking through the instructions and couldn't tell if there was a way to fix it or not. Just simply what I should do. Like if I should complete it in the PDF from Gradescope and then copy and paste into Github (Visual Studio Code) or if there is a command, I can use to fix it.</p><p></p><p><img alt=""image.pngNaN"" height=""545"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flzpvv2r8inv6y7%2F9d178c9f479f77ba8912ec0007811e4ed88e85c787f638796c08a70a46949c02%2Fimage.png"" width=""794""/></p>","<p>Another way is to download the pdf to your locals and edit it. However, there are some students saying that the font size of the fillable space in the pdf might not be convenient. So, if you like, you could also write down the answers by hand, scan them, and convert them to PDFs for grade scope submission.</p><p></p><p><em><strong>Please make sure that you need to make sure your handwriting is clear.</strong></em></p>","{'folders': ['hw5'], 'title': 'WriteUp PDF in GitHub', 'timestamp': '2024-09-22T17:17:10Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 127}"
70,"When I go to open the write-up pdf in Google Docs to edit it and write my answers all of the mathematical equations and other elements are messed up. Any advice?<br/><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au9rggzzt1ck%2Fc59a9a68e346c403b65d30bf5574821fcd1aa6410553999e6a8d6b0f9eea2a81%2Fimage.png""/>",Could you please try to download to the local and edit the pdf? ,"{'folders': ['hw5'], 'title': 'Write-up PDF Issue', 'timestamp': '2024-09-21T00:05:00Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 121}"
71,I just want to confirm HW4 has been extend by next Wednesday. Because Github still says today. ,This is to confirm that HW4 is due on 25 September 2024 by 11:59PM (see @106).,"{'folders': ['hw4'], 'title': 'Homework 4 extension', 'timestamp': '2024-09-20T23:05:56Z', 'user': '', 'tags': ['hw4', 'student'], 'likes': 1, 'views': 122}"
72,"If we never experienced problems with accepting HW4, we can still push our work onto github and still get it graded, correct?","Yes, if you are not facing any issue with Github, then please do push your code to GitHub. ","{'folders': ['hw4'], 'title': 'Still Submit HW4 in GitHub?', 'timestamp': '2024-09-20T16:57:08Z', 'user': '', 'tags': ['hw4', 'student'], 'likes': 0, 'views': 108}"
73,"For the ""repeater"" method, are we expected to use 'recursion' and 'global variables'? I can not seem to figure out how to approach this method since we are not allowed to input ""num_repeats"" into the ""ret_fun"" method as an argument.",The inner function has access to the outer function's local variables. This means ret_fun has access to the variables in repeater including num_repeats. Recursion is not necessary,"{'folders': ['hw4'], 'title': 'HW4 Problem 1', 'timestamp': '2024-09-19T02:26:48Z', 'user': '', 'tags': ['hw4', 'student'], 'likes': 0, 'views': 119}"
74,"In homework 2, I just realized I had all points off due to absent of bracket in output. The actual values are all right. Is there any way to improve my score?",Please submit a regrade request with the instructions in the post @95,"{'folders': ['hw2'], 'title': 'Regrade request', 'timestamp': '2024-09-18T02:16:05Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 119}"
75,"<p>Does it matter whether or not we reference the index of the box vector like it says in the readme or if we do it in another scaleable way that gets the right answer? For example, instead of indexing by doing box[len(box) - 1  - i] as suggested, I just made a copy of the list (i figured I shouldn't mess with the original list unless I'm told I can), and used the .reverse() method to reverse the values in the list. This gives me the right answers to some extent. There are some float rounding errors but the readme said to expect those. </p><p></p><p>Potentially unrelated to that, the second test case for problem 2 calculates the right numbers but with the wrong sign. All the numeric values are correct but all the signs are flipped which doesn't quite make sense because the first test case doesn't do this but still contains negatives. Here is the testing code provided (and I'm pretty sure it's unchanged from the initial commit).</p><p></p><div><div><kbd>    box_f2, width2 = create_box([-0.5, 0, 0, 0.5])</kbd></div><div><kbd>    print(stencil(data, box_f2, width2))</kbd></div><div>I'm not sure if it's a problem with my logic or the test case but I'll keep digging until someone says the test case is backward.</div><div>I suggest that the -0.5 and the 0.5 are backward because swapping their sign makes my test cases correct and because my logic doesn't (shouldn't) introduce any additional sign changes I'm not sure what to make of this.</div></div><div></div><div>Edit: fixed it. Turns out I wasn't using the reversed list so I flipped the signs but didn't affect the other cases because they are Palindromic. It appears that my methodology of indexing the box vector produces the right answer but my question still stands if there are any restrictions on doing it that way. </div><div></div><div>another edit: A TA said in office hours that as long as the methodology works and I get the right answers it should be fine as long as it doesn't go against anything in the readme.</div><p></p>","As said in your edits, there doesn't seem to be many restrictions on -how- you get the correct answer. As long as your method includes the things we've learned in lecture, and your code passes all the tests (remember that the graders use different tests than the ones given so you can't brute force a solution), there shouldn't be an issue. ","{'folders': ['hw4'], 'title': 'HW4 Q2 Box creation and questions', 'timestamp': '2024-09-18T02:13:14Z', 'user': 'lzndecmigcy4fq', 'tags': ['student'], 'likes': 1, 'views': 105}"
76,"<p>I have my code filled out and get an output that is nearly identical to the expected output except for a single value that seems to be off by 0.0000000000002 (looks like a floating point error) but it only occurs on a single digit. Should I just re-evaluate all my code and try to fix it, or will it be fine for grading. </p><p>Anyone have tips on how this might be fixable?</p><p>Thanks!</p><p>(note the top group is the expected values)<img alt="""" height=""400"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fktnb6c7elcf740%2Ff386a1eabfb4b83fcfaf17be5518f40e52dcf54a52c91fa1d0fee009edfe768b%2FCaptura_de_Pantalla_2024-09-17_a_la%28s%29_3.37.01_p.m..png"" width=""1728""/></p>","I had the same issue that you did, and to fix it, I just changed the way I calculated the sum of the list in the create_box function.","{'folders': ['hw4'], 'title': 'Hw 4 floating point error', 'timestamp': '2024-09-17T19:44:53Z', 'user': 'ktnb6c7elcf740', 'tags': ['hw4', 'student'], 'likes': 0, 'views': 103}"
77,"<p>Hi,</p><p>What do I do about this issue?</p><p><img alt="""" height=""1580"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au55hsny04a9%2F7c2de675c34a8ad6c0f09f6e7bcad139c5d4ee17507709ea3d3cbaae88d693dd%2FScreenshot_2024-09-17_at_3.01.06_PM.png"" width=""3016""/></p>","<p>We're not sure why this issue is occurring. Have you discussed it with your classmates to see if they are experiencing the same problem? Nonetheless,  please discuss this during office hours if this does't get sorted.</p><p></p><p>AM Edit: Please check @106. </p>","{'folders': ['hw4'], 'title': 'HW4 Repository Access', 'timestamp': '2024-09-17T19:02:39Z', 'user': '', 'tags': ['hw4', 'student'], 'likes': 5, 'views': 123}"
78,"What I am confused is how to retrieve original list after it has been returned with four decimal places. In sweep n, we will return the list rounder to four decimals and find_mins uses this list for its output. But how to print the all the decimals in find_mins shown in the instruction? (14, -0.01868362283870376), (17, -0.01863540572320631), (20, -0.018591577843945776)",<div><div>PLEASE NOTE: you are not to truncate the values. We have only done so to keep the write-up brief. From README line 181.</div></div><p></p>,"{'folders': ['hw3'], 'title': 'Round up to four decimals', 'timestamp': '2024-09-15T22:03:40Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 92}"
79,"What are the best resources to use for studying for the exams? Like is there a textbook, practice problems, or past exams we can use?","We will post practice exams soon to help you practice. The required content for the exam should be in the lecture slides, Python notebooks, HWs, and instructors' additions. You should review these carefully. We do not follow any textbook in this class. More details about the scope of the exam and further instructions will be issued soon--stay tuned.","{'folders': ['exam'], 'title': 'Exam Studying Resources', 'timestamp': '2024-09-15T17:05:46Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 122}"
80,"I keep getting an error saying ""ModuleNotFoundError: No module named 'matplotlib'"" for both matplotlib and numpy whenever I try to run my code. I tried uninstalling and reinstailling it and it still does not work. How do I go about fixing this error?","Make sure that you are using the correct environment for running the code. There are multiple ways you can check from the terminal, like pip list or which python3 <br/><br/>If you are using conda, you can use conda info --envs. ","{'folders': ['hw3'], 'title': 'Module not found error', 'timestamp': '2024-09-13T23:59:06Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 94}"
81,"<p>Much like @61, is it ok to have that np.float64 type printed with the j value? Like in:</p><p><img alt=""image.png"" height=""184"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au544z7ma450%2F93f9d73171cc73e1fcab3aa52906e43fcde1ac0e0365b8aca3b1e61ce8500f70%2Fimage.png"" width=""407""/></p>",Yes,"{'folders': ['hw3'], 'title': 'Hw 3 sweep_n output', 'timestamp': '2024-09-13T23:23:20Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 1, 'views': 90}"
82,"<p>Hi, I am using eceprog to use my computer and I am encountering this issue whenever I try to run my program.</p><p></p><p>Is there any way to fix this?</p><p></p><p>Thanks</p><p></p><p><img alt="""" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au55hsny04a9%2F986d0e3925bb8a3e035acddd9d1f739fcbcb58c1e41c8428f8b6c8c9c7981efb%2FIMG_1093.jpg""/></p>",@93,"{'folders': ['hw3'], 'title': 'Numpy Error', 'timestamp': '2024-09-13T23:20:40Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 81}"
83,"For the Compose portion of question 1 of homework 4 I can't tell if the README test cases are backward, If my logic is backward, or if the instructions are backward. When I run the test cases I get the correct numbers for both lines of the compose section of the testing however they are out of order. the third line is in the place of the second line and the second line is in place of the third line. When I reverse the order of the applied functions i get the ""correct"" test case condition. The readme says to apply in the format Func1(func2(i)) but the method that gets me the correct output is func2(func1(i)). Any guidance on this would be appreciated.",Could you <strong>privately share</strong> your code logic with us to debug/check you implementation?,"{'folders': ['hw4'], 'title': 'Order of functions in problem 1 compose function', 'timestamp': '2024-09-13T23:18:56Z', 'user': 'lzndecmigcy4fq', 'tags': ['hw4', 'student'], 'likes': 1, 'views': 84}"
84,"<p>Is anyone else having issues with accessing the discord? It also will not let me log in for some reason.</p><p></p><p><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au8ypu7sz5up%2F540ab29ce8d874b91379a855725b7734b64910399c288e1c656c857afe6222ef%2Fimage.png""/></p>",Try running discord as administrator or even reinstalling it.,"{'folders': ['other'], 'title': 'Discord Issues', 'timestamp': '2024-09-13T21:48:38Z', 'user': '', 'tags': ['other', 'student'], 'likes': 0, 'views': 79}"
85,"This may be a small thing, but I got -0.017002803765276044 for the Compute_j instead of -0.0170 0280376527604 which the only difference is that my answer has an extra 4 at the end? Will this be a problem",@83,"{'folders': ['hw3'], 'title': 'Compute_j Answer', 'timestamp': '2024-09-13T21:12:31Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 87}"
86,"<p>I have been using the prompt line python3 -mpip install --user scipy and I am getting this error and don't know what to do.</p><p><img alt="""" height=""929"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fm01gvmdapvo6ct%2F466935af7b1d390d1725def230246133c4fd2d75800b94602ee31cfab0eef700%2FScreenshot_2024-09-13_152646.png"" width=""1428""/></p>","<p>It seems you've ran into an exceptionally unique error! As a stopgap solution you can always use a google colab notebook to run your code in a pinch. It should automatically import anything your file needs.</p><p></p><p>As for solving this issue try updating pip through</p><pre>python -m pip install --upgrade pip</pre><p>You can also try to upgrade the version of CMake installed. It is probably installed through pip unless you previously installed it, in which case that version might be causing issues.<kbd></kbd></p><p>If it is installed under pip (you can check this with ""python -m pip list"") you can remove it with</p><pre>python -m pip uninstall cmake</pre><p>to get a fresh install of it when you try to re-install scipy.</p><p></p><p>Cmake could also be installed under VSCode's extensions, if that is the case try removing/disabling it and seeing if that changes the install error.</p>","{'folders': ['hw3'], 'title': 'Homework 3', 'timestamp': '2024-09-13T19:28:47Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 97}"
87,<p>Does anyone understand how we are supposed to do the stats.probplot function for this problem specifically? Or like where I can look to see how we are supposed to use it?</p><p></p><p>Also if I don’t manage to get that part working as I going to be counted off for everything in that question as that part is pretty much required to be able to do the rest?</p>,"<md>I recommend looking at the documentation for the function, it'll tell you the various parameters and what the function returns: https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.probplot.htmlIn this case we have to pass in the data and the distribution type.</md>","{'folders': ['hw3'], 'title': 'Stats.probplot', 'timestamp': '2024-09-13T18:16:22Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 84}"
88,<p>Does anyone know if for sweep_n if we are supposed to find the number of bins needed as well as the bin_width based off the values we have and then the number of bins wanted are then plug those into the compute_j function we made previously. <br/>Are we even supposed to find the bin_width or just use bin_number? <br/>Are we supposed to use same equation as what was in compute_j?</p><p>Im just very confused</p>,"For each bin number (n) value between min_bins and max_bins, you need to calculate the corresponding bin width and use that as input for the compute_j function.","{'folders': ['hw3'], 'title': 'Sweep_n', 'timestamp': '2024-09-13T18:10:28Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 76}"
89,"When I run the testing.py code, I'm getting:<div>-0.017002803765276044</div><div>As opposed to:</div><div>-0.01700280376527604</div><div><br/></div><div>There's one digit extra in my output (one more decimal point) than what the Readme says.</div><div><br/></div><div>Is this fine or is there some way to fix it?</div>",This is fine.,"{'folders': ['hw3'], 'title': 'Precision error in Compute_j', 'timestamp': '2024-09-13T17:33:05Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 86}"
90,I just wanted to check as it has been week since HW1 was graded and I do not have a response on my regrade request.,HW1 grades were released on Monday. You have been given one week from the date of grade release to review your grading report and submit any regrade requests. We will begin addressing all requests once the submission window has closed and we have collected all of the requests.,"{'folders': ['hw1'], 'title': 'How long will regrade requests take?', 'timestamp': '2024-09-13T16:20:40Z', 'user': 'm02l4ca3ixr12l', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 74}"
91,Is there any way to check if we are getting the correct results for things such as compute_j?,"nevermind i now see where it says what the correct answers are, i think my brain just wasnt reading properly","{'folders': ['hw3'], 'title': 'Checking answers HW3', 'timestamp': '2024-09-13T01:51:25Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 110}"
92,"<p>Using the example to check our work, I understand that the list ""data"" refers to [0,8,3,7,9,8,6,8,5,2,1,9,8,5,5,3,4,4,8,2]. However, what does the list ""histogram"" refer to? in other words, how is the list ""histogram"" determined from the list ""data""?</p><p></p><p>for reference: </p><div><div>Data: [0,8,3,7,9,8,6,8,5,2,1,9,8,5,5,3,4,4,8,2]</div><div>Histogram: [2   4   5   2  7]</div></div><div></div><p></p>","As mentioned in the slides, a histogram list is the list of counts(height) of each bin. Here, the number of bins is 5. So ith value in the list refers to the height of ith bin.","{'folders': ['hw3'], 'title': 'what *is* &#34;histogram&#34; in problem 1?', 'timestamp': '2024-09-12T22:46:20Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 1, 'views': 98}"
